@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
14, 8, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 23, 16, 17, 1, 0, 551, 1, 0, 0, 0, 0, 0, 0, 0, 19, 1, 0, 550, South
14, 7, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 23, 16, 19, 1, 0, 550, 1, 0, 0, 0, 0, 0, 0, 0, 19, 1, 0, 549, South
14, 6, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 24, 16, 19, 1, 0, 549, 1, 0, 0, 0, 0, 0, 0, 0, 19, 1, 0, 548, North
14, 7, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 23, 16, 19, 1, 0, 548, 1, 0, 0, 0, 0, 0, 0, 0, 17, 1, 0, 547, North
14, 8, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 24, 16, 17, 1, 0, 547, 1, 0, 0, 0, 0, 0, 0, 0, 16, 1, 0, 546, North
14, 9, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 24, 15, 16, 1, 0, 546, 1, 0, 0, 0, 0, 0, 0, 0, 16, 1, 0, 545, North
14, 10, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 24, 15, 16, 1, 0, 545, 1, 0, 0, 0, 0, 0, 0, 0, 16, 1, 0, 544, East
15, 10, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 24, 16, 16, 1, 0, 544, 1, 0, 0, 0, 0, 0, 0, 0, 16, 1, 0, 543, East
16, 10, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 25, 16, 16, 1, 0, 543, 1, 0, 0, 0, 0, 0, 0, 0, 14, 1, 0, 542, East
17, 10, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 25, 17, 14, 1, 0, 542, 1, 0, 0, 0, 0, 0, 0, 0, 12, 1, 0, 541, East
18, 10, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 25, 16, 12, 1, 0, 541, 1, 0, 0, 0, 0, 0, 0, 0, 11, 1, 0, 540, East
19, 10, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 25, 15, 11, 1, 0, 540, 1, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 539, East
20, 10, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 25, 15, 9, 1, 0, 539, 1, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 538, North
20, 11, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 25, 14, 9, 1, 0, 538, 1, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 537, North
20, 12, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 25, 15, 7, 1, 0, 537, 1, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 536, North
20, 13, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 24, 15, 6, 1, 0, 536, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 535, North
20, 14, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 24, 15, 5, 1, 0, 535, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 534, North
20, 15, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 5, 1, 0, 0, 24, 15, 3, 1, 0, 534, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 533, East
