%
%  Este dataset parte de training_tutorial1_plus
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se ha aplicado el filtro RemoveMissClassified
%

@relation training_tutorial1_v5

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
14,15,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,4,20,1,18,18,6,1,0,346,North
14,16,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,3,22,1,17,18,4,1,0,345,North
14,18,2,0,1,1,0,1,1,1,0,0,3,1,0,0,24,3,25,1,17,18,4,1,0,343,East
15,17,2,0,1,1,1,1,1,1,0,0,3,1,0,0,24,3,23,1,17,17,1,1,0,341,East
16,17,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,4,21,1,7,1,0,0,0,540,South
16,16,1,0,1,1,1,1,1,1,0,0,3,1,0,0,25,4,21,1,7,1,0,0,0,539,South
16,15,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,4,19,1,7,1,0,0,0,538,South
16,14,1,0,1,1,1,0,1,1,0,0,3,1,0,0,24,4,18,1,7,1,0,0,0,537,East
17,14,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,5,16,1,7,1,0,0,0,536,South
17,13,1,0,0,1,1,1,1,1,0,0,3,1,0,0,24,6,14,1,7,1,0,0,0,535,South
17,12,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,7,12,1,7,1,0,0,0,534,South
17,11,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,8,10,1,7,1,0,0,0,533,South
17,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,25,8,10,1,7,1,0,0,0,532,East
18,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,25,7,10,1,7,1,0,0,0,531,East
19,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,24,7,8,1,7,1,0,0,0,530,East
20,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,23,7,6,1,7,1,0,0,0,529,East
21,10,1,0,1,1,0,0,1,1,0,0,3,1,0,0,23,6,6,1,7,1,0,0,0,528,East
22,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,23,5,6,1,7,1,0,0,0,527,East
23,10,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,5,6,1,7,1,0,0,0,526,South
23,9,1,0,0,1,1,1,1,1,0,0,3,1,0,0,23,5,4,1,7,1,0,0,0,525,South
23,8,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,5,4,1,7,1,0,0,0,524,South
23,7,1,0,0,1,1,1,1,1,0,0,3,1,0,0,25,5,4,1,7,1,0,0,0,523,South
23,6,1,0,1,1,1,1,1,1,0,0,3,1,0,0,25,5,3,1,7,1,0,0,0,522,South
23,5,1,0,0,1,1,1,1,1,0,0,3,1,0,0,25,6,3,1,7,1,0,0,0,521,North
23,6,1,0,1,1,1,1,1,1,0,0,3,1,0,0,25,5,3,1,7,1,0,0,0,520,South
23,5,1,0,0,1,1,1,1,1,0,0,3,1,0,0,25,5,2,1,7,1,0,0,0,519,East
24,5,1,0,1,1,1,1,1,1,0,0,3,1,0,0,25,4,2,1,7,1,0,0,0,518,South
1,18,4,0,0,1,0,1,5,9,13,1,11,3,25,1,17,6,28,1,25,13,29,1,0,0,South
1,17,4,0,0,0,1,1,5,8,13,1,10,3,23,1,16,6,26,1,25,13,28,1,0,-1,South
1,16,4,0,0,1,1,1,6,8,13,1,11,3,23,1,16,6,25,1,25,13,26,1,0,-2,South
1,15,4,0,0,1,1,1,5,8,11,1,11,3,22,1,15,6,23,1,25,14,24,1,0,-3,South
1,14,4,0,0,1,1,1,5,8,10,1,11,3,21,1,16,6,23,1,24,14,24,1,0,-4,South
1,13,4,0,0,0,1,1,5,9,8,1,11,4,19,1,15,6,21,1,24,15,24,1,0,-5,South
1,12,4,0,0,1,1,1,6,9,8,1,11,3,19,1,15,6,20,1,24,14,25,1,0,-6,East
2,12,4,0,1,1,0,0,5,9,6,1,11,3,18,1,16,6,20,1,24,14,25,1,0,-7,East
3,12,4,0,1,1,0,0,5,8,6,1,10,3,16,1,16,6,19,1,24,15,25,1,0,-8,East
4,12,4,0,1,1,0,0,5,7,6,1,11,3,16,1,16,6,18,1,25,15,23,1,0,-9,East
5,12,4,0,1,1,0,0,5,6,6,1,11,4,14,1,17,6,18,1,25,14,21,1,0,-10,East
6,12,4,0,1,1,0,0,4,6,8,1,11,4,13,1,17,5,18,1,24,14,21,1,0,-11,West
5,12,4,0,1,1,0,0,4,5,8,1,11,3,15,1,17,6,18,1,24,15,23,1,0,-12,West
4,12,4,0,1,1,0,0,3,5,8,1,11,4,15,1,17,5,20,1,25,15,24,1,0,-13,West
3,12,4,0,1,1,0,0,3,6,6,1,11,5,15,1,18,5,22,1,25,15,24,1,0,-14,West
2,12,4,0,1,1,0,0,4,6,8,1,11,4,17,1,18,5,23,1,24,15,26,1,0,-15,West
1,12,4,0,0,1,1,1,4,6,9,1,11,4,18,1,19,5,25,1,25,15,26,1,0,-16,South
1,11,4,0,0,0,1,1,4,6,8,1,11,3,18,1,19,5,24,1,24,15,28,1,0,-17,South
1,10,4,0,0,0,1,1,4,7,6,1,11,3,17,1,19,4,24,1,24,16,30,1,0,-18,South
1,9,4,0,0,0,1,1,3,7,4,1,11,3,16,1,20,4,24,1,25,16,30,1,0,-19,South
1,8,4,0,0,0,1,1,3,6,4,1,11,4,14,1,19,4,22,1,25,15,32,1,0,-20,South
1,7,4,0,0,0,1,1,3,5,4,1,11,3,14,1,20,4,22,1,25,16,34,1,0,-21,South
2,4,3,0,1,1,1,1,1,1,0,0,10,5,9,1,19,5,18,1,25,17,35,1,0,175,North
2,5,3,0,1,1,1,1,1,1,0,0,10,6,9,1,19,4,18,1,25,16,33,1,0,174,North
2,6,3,0,1,1,0,1,1,1,0,0,10,5,9,1,19,3,20,1,24,16,32,1,0,173,South
2,5,3,0,1,1,1,1,1,1,0,0,9,5,7,1,18,3,18,1,24,16,32,1,0,172,East
3,5,3,0,1,1,1,1,1,1,0,0,9,5,6,1,19,3,18,1,24,15,32,1,0,171,East
4,5,3,0,1,1,1,1,1,1,0,0,10,5,6,1,20,3,18,1,24,16,30,1,0,170,East
5,5,3,0,1,0,1,1,1,1,0,0,9,5,4,1,21,3,18,1,24,15,30,1,0,169,North
6,6,3,0,1,1,1,0,1,1,0,0,9,5,4,1,20,3,17,1,24,16,29,1,0,167,East
7,6,3,0,1,1,0,0,1,1,0,0,8,5,2,1,20,3,16,1,25,16,27,1,0,166,East
8,6,3,0,1,1,1,1,1,1,0,0,8,5,1,1,20,3,15,1,25,15,25,1,0,165,South
8,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,20,4,13,1,24,15,25,1,0,364,South
8,4,2,0,0,1,1,1,1,1,0,0,3,1,0,0,19,4,11,1,24,14,25,1,0,363,East
9,4,2,0,1,1,1,1,1,1,0,0,3,1,0,0,19,3,11,1,23,14,23,1,0,362,South
