%
% Aplicados en este archivo:
%   - Eliminados atributos move_stop y todos los que acaban en _after (excepto score_after)
%   - Eliminadas todas las instancias cuya acción fuera 'Stop'
%

@relation 'pacman-training-keyboard'

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute score_after numeric

@data
17,5,1,10,1,0,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,1967,2066
17,4,1,9,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,2066,2165
17,3,1,8,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,1,2165,2264
17,2,1,7,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,1,0,1,2,2264,2463
9,1,4,68,1,1,0,0,10,5,5,1,11,5,6,1,11,5,6,1,15,7,12,1,1,-5,94
8,1,4,67,1,1,1,0,9,5,5,1,10,5,6,1,11,5,7,1,15,7,12,1,1,94,193
7,1,4,66,1,1,0,0,9,4,5,1,9,5,6,1,10,5,7,1,15,6,14,1,1,193,292
6,1,4,65,1,1,1,0,9,4,6,1,9,5,7,1,10,6,9,1,15,7,14,1,1,292,391
6,2,4,64,0,0,1,1,9,4,5,1,9,4,5,1,10,5,7,1,15,6,12,1,1,391,490
6,3,4,63,1,0,1,1,9,3,3,1,9,4,4,1,10,6,7,1,15,5,10,1,1,490,589
6,4,4,62,0,0,1,1,10,3,5,1,9,4,3,1,10,6,6,1,14,5,8,1,1,589,688
6,5,4,61,1,1,1,1,10,3,6,1,9,5,3,1,9,6,4,1,13,5,8,1,1,688,687
7,5,4,61,1,1,0,0,9,3,4,1,9,6,3,1,9,5,2,1,13,6,6,1,2,687,686
8,5,4,61,1,1,0,0,8,3,2,1,9,5,1,1,10,5,2,1,13,5,5,1,2,686,885
9,5,3,61,1,1,1,1,8,3,3,1,4,1,0,0,10,6,2,1,13,5,5,1,1,885,1184
9,6,2,60,0,1,1,1,8,2,5,1,4,1,0,0,5,1,0,0,13,4,5,1,1,1184,1283
9,7,2,59,1,1,0,1,8,3,5,1,3,1,0,0,4,1,0,0,13,5,7,1,1,1283,1382
10,7,2,58,1,1,0,1,9,3,5,1,3,2,12,0,3,1,0,0,14,5,7,1,1,1382,1481
11,7,2,57,1,1,0,0,10,3,5,1,3,2,13,0,4,1,0,0,15,5,7,1,1,1481,1580
12,7,2,56,1,1,0,0,11,3,5,1,3,1,0,0,3,1,0,0,16,5,7,1,1,1580,1579
11,7,2,56,1,1,0,0,10,3,5,1,4,1,0,0,4,1,0,0,17,5,8,1,2,1579,1578
10,7,2,56,1,1,0,1,11,3,5,1,4,1,0,0,3,1,0,0,17,5,10,1,1,1578,1677
10,6,2,55,1,0,1,1,11,2,5,1,5,1,0,0,4,1,0,0,18,5,10,1,3,1677,1676
10,5,2,55,1,1,1,0,11,2,4,1,4,1,0,0,6,1,0,0,18,4,9,1,3,1675,1674
9,5,2,55,1,1,1,1,11,3,4,1,4,1,0,0,6,1,0,0,18,4,11,1,3,1674,1673
9,4,2,55,0,0,1,1,11,2,4,1,5,1,0,0,7,1,0,0,18,3,11,1,4,1673,1672
9,3,2,55,1,1,1,0,11,2,3,1,4,1,0,0,7,1,0,0,18,2,9,1,3,1672,1671
10,3,2,55,1,1,0,0,11,3,1,1,3,1,0,0,7,1,0,0,18,3,9,1,2,1671,1870
11,3,1,55,1,0,0,1,1,1,0,0,3,1,0,0,6,1,0,0,18,4,7,1,2,1870,1869
11,2,1,55,0,0,1,1,1,1,0,0,3,2,8,0,6,2,5,0,18,3,9,1,1,1869,1968
